failure_scenario,variant,downstream_capability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F8,V5,C0,UAR,10,0.09884,0.09805,0.0027661445290431863,0.0968,0.1,0.0032000000000000084,0.0962,0.1054,0.09712552585839791,0.10055447414160208
F8,V5,C0,RAF,10,1.3953600000000002,1.3921999999999999,0.011064578116172754,1.3872,1.4,0.012799999999999923,1.3848,1.4216,1.3885021034335918,1.4022178965664085
F8,V5,C0,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V5,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V5,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C1,UAR,10,0.09988000000000001,0.0993,0.0030911342758138316,0.0981,0.1029,0.004799999999999999,0.0947,0.1049,0.09796409512646259,0.10179590487353743
F8,V5,C1,RAF,10,1.39952,1.3972,0.01236453710325532,1.3924,1.4116,0.019199999999999884,1.3788,1.4196,1.3918563805058504,1.4071836194941498
F8,V5,C1,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V5,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V5,C2,RSR,10,0.09881999999999999,0.09815,0.0033828981657744285,0.0977,0.1011,0.0034000000000000002,0.0933,0.1045,0.09672325799393439,0.1009167420060656
F8,V5,C2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C2,RAF,10,1.1976399999999998,1.1963,0.006765796331548857,1.1954,1.2022,0.006799999999999917,1.1866,1.209,1.1934465159878687,1.201833484012131
F8,V5,C2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
