failure_scenario,variant,failure_probability,concurrency,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F8,V4,0.05,50,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.05,50,P95,10,28.5837,25.0085,11.779238157311646,23.554000000000002,26.524,2.969999999999999,21.994,61.714,21.282852550980767,35.88454744901924
F8,V4,0.05,50,P99,10,50.1419,42.175999999999995,25.51213750550902,40.389,45.664,5.274999999999999,32.897,121.517,34.329313350624254,65.95448664937574
F8,V4,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.1,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.1,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.1,10,UAR,10,0.09954,0.09905,0.0029807530741221893,0.0963,0.102,0.005699999999999997,0.096,0.1035,0.09769251010407214,0.10138748989592787
F8,V4,0.1,10,RAF,10,1.3981599999999998,1.3961999999999999,0.011923012296488747,1.3852,1.408,0.02279999999999993,1.384,1.414,1.3907700404162884,1.4055499595837113
F8,V4,0.1,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.1,10,P95,10,33.414,32.6055,3.1476045565547834,31.047,36.975,5.928000000000001,29.679000000000002,38.272,31.463094483841473,35.36490551615853
F8,V4,0.1,10,P99,10,42.025200000000005,40.7855,3.439106337408019,39.867,46.34,6.473000000000006,38.229,47.028999999999996,39.893619808221146,44.156780191778864
F8,V4,0.1,50,DER,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.1,50,EOER,70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.1,50,RSR,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.1,50,UAR,70,0.10012142857142858,0.1002,0.0028728056708312607,0.098,0.1021,0.0040999999999999925,0.093,0.1062,0.0994484313041688,0.10079442583868836
F8,V4,0.1,50,RAF,70,1.4004857142857141,1.4008,0.011491222683325055,1.392,1.4084,0.016400000000000192,1.372,1.4248,1.397793725216675,1.4031777033547532
F8,V4,0.1,50,DAF,70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.1,50,P95,70,22.705899999999993,21.735,4.316604063616326,20.084,23.155,3.0710000000000015,18.912,49.461999999999996,21.694671580287338,23.717128419712648
F8,V4,0.1,50,P99,70,29.714414285714273,27.7905,7.875087997654848,25.112000000000002,30.925,5.812999999999999,22.856,76.377,27.86955831245297,31.559270258975577
F8,V4,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.2,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.2,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.2,10,UAR,10,0.20052999999999996,0.20095,0.004534325871737834,0.1984,0.2044,0.006000000000000005,0.1912,0.2067,0.19771959570800843,0.2033404042919915
F8,V4,0.2,10,RAF,10,1.80212,1.8037999999999998,0.018137303486951376,1.7936,1.8176,0.02400000000000002,1.7648,1.8268,1.7908783828320338,1.813361617167966
F8,V4,0.2,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.2,10,P95,10,42.847699999999996,42.804,2.1586680075145113,41.906,43.446999999999996,1.5409999999999968,38.839,46.625,41.509743707286866,44.18565629271313
F8,V4,0.2,10,P99,10,50.16159999999999,49.53699999999999,2.910144028509014,49.251999999999995,50.215,0.9630000000000081,45.40599999999999,55.56099999999999,48.357874043951604,51.96532595604838
F8,V4,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.2,50,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.2,50,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,0.2,50,UAR,10,0.19968999999999998,0.19905,0.0024214091397825,0.198,0.2014,0.0033999999999999864,0.1966,0.2043,0.19818919506634308,0.20119080493365687
F8,V4,0.2,50,RAF,10,1.7987600000000001,1.7962,0.009685636559129995,1.792,1.8056,0.013600000000000056,1.7864,1.8172,1.7927567802653726,1.8047632197346277
F8,V4,0.2,50,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F8,V4,0.2,50,P95,10,24.2055,23.366,2.0112791535073735,22.976,26.443000000000005,3.467000000000006,21.816000000000003,27.808,22.95889626544225,25.452103734557753
F8,V4,0.2,50,P99,10,29.694799999999997,28.195,3.52555400847394,27.48,32.114000000000004,4.634000000000004,26.255000000000003,37.4,27.50963898658001,31.879961013419983
F8,V5,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
