failure_scenario,failure_probability,concurrency,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F4,0.01,10,V3,throughput,10,1346.624412112386,1380.2724164267,165.0198797010616,1342.4184857535201,1428.2859672118732,85.86748145835304,1062.888322709444,1597.8943762461454,1244.3440310161673,1448.9047932086046
F4,0.01,10,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,10,V4,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,10,V4,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,10,V4,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,10,V4,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,10,V4,RAF,10,1.01068,1.0108,0.0008841819822738742,1.01,1.0111,0.001100000000000101,1.0094,1.0124,1.0101319783297067,1.0112280216702934
F4,0.01,10,V4,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,10,V4,P95,10,10.6759,9.9905,1.5338406008737966,9.722,11.88,2.1580000000000013,9.421,14.253,9.72521574618512,11.626584253814881
F4,0.01,10,V4,throughput,10,321.20556343001437,317.866544745115,20.85488552663585,311.24417504852005,340.5113702542628,29.267195205742723,285.1754521547567,350.80789283634124,308.2795714631895,334.13155539683925
F4,0.01,10,V5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,10,V5,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,10,V5,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,10,V5,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,10,V5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,10,V5,RAF,10,1.0099,1.0098500000000001,0.000817856276425702,1.0093,1.0105,0.0011999999999998678,1.0088,1.0114,1.0093930874280947,1.0104069125719053
F4,0.01,10,V5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,10,V5,P95,10,11.0086,9.789,2.249533146627935,9.588,12.268,2.6800000000000015,9.51,15.117,9.6143249105836,12.4028750894164
F4,0.01,10,V5,throughput,10,335.1971985192239,333.8444804440934,18.276654023224395,322.5999207556967,355.13075865994375,32.53083790424705,304.3306449645643,361.8320463044507,323.8692109940512,346.5251860443966
F4,0.01,50,V0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V0,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V0,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V0,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V0,P95,10,42.04350000000001,44.165,5.184416162350824,39.847,44.644,4.796999999999997,30.863,47.836,38.8301655714013,45.256834428598715
F4,0.01,50,V0,throughput,10,1729.2655979694416,1740.821628138032,60.7903314041603,1699.466339796348,1757.7225857686756,58.25624597232763,1631.0741197903276,1811.302398726428,1691.5873602065344,1766.9438357323488
F4,0.01,50,V1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
