failure_scenario,variant,duplicate_fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F6,V3,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V3,2,DAF,10,1.64386,1.6438000000000001,0.007065282883382807,1.6404,1.6467,0.006299999999999972,1.6331,1.6547,1.6394808922999213,1.6482391077000789
F6,V3,2,RRR,10,0.64386,0.6437999999999999,0.007065282883382816,0.6404,0.6467,0.006300000000000083,0.6331,0.6547,0.6394808922999212,0.6482391077000788
F6,V3,2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V3,2,P95,10,36.259699999999995,34.341499999999996,7.450958581879843,33.274,38.926,5.652000000000001,25.98,54.748,31.64154802541757,40.87785197458242
F6,V3,2,P99,10,55.3815,47.716,16.986972120814627,44.95,68.739,23.789,36.068,91.477,44.85286559949519,65.91013440050482
F6,V3,2,throughput,10,350.7403391073624,356.093195367824,55.397556012383326,338.99761000568236,373.9244689340187,34.926858928336344,240.13261871289887,457.8237016402141,316.40457816140866,385.0761000533161
F6,V3,5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V3,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V3,5,DAF,10,4.32577,4.31955,0.017303567390698424,4.3151,4.332,0.016899999999999693,4.3061,4.3547,4.315045137818239,4.336494862181762
F6,V3,5,RRR,10,0.8314425,0.8298875,0.004325891847674619,0.828775,0.833,0.004224999999999923,0.826525,0.838675,0.8287612844545597,0.8341237155454403
F6,V3,5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V3,5,P95,10,93.80610000000001,93.3545,5.7268604827504666,91.07799999999999,94.20400000000001,3.126000000000019,85.12299999999999,107.672,90.25655509836945,97.35564490163058
F6,V3,5,P99,10,245.49049999999997,134.226,341.96825533544285,132.16899999999998,150.176,18.007000000000005,117.74999999999999,1217.956,33.536379430530644,457.4446205694693
F6,V3,5,throughput,10,151.4413741465463,150.8054813580801,21.535554102322575,142.64880654387468,158.19137409430687,15.542567550432182,115.61179883339061,193.79470885827686,138.09349942567036,164.78924886742226
F6,V4,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V4,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V4,10,DAF,10,0.99656,1.0,0.008498784226778154,1.0,1.0,0.0,0.9734,1.0,0.9912923989622093,1.0018276010377907
F6,V4,10,RRR,10,0.7550366666666667,0.7642333333333333,0.02545513714083487,0.7601,0.7705555555555555,0.010455555555555551,0.7020666666666666,0.7752888888888889,0.7392594092093377,0.7708139241239956
F6,V4,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V4,10,P95,10,2564.8953,178.3275,6271.91858546575,175.01,184.637,9.62700000000001,172.81,20053.303000000004,-1322.4801137257873,6452.270713725788
F6,V4,10,P99,10,4222.508199999999,253.284,8370.699142833593,241.468,277.502,36.03400000000002,240.29200000000003,20105.366999999995,-965.7048802771624,9410.721280277161
F6,V4,10,throughput,10,82.56888895134344,82.97808260186756,2.7913067802076346,80.35094472969475,83.75211196424846,3.4011672345537107,78.38637820188043,86.77381987753716,80.83881908489292,84.29895881779396
F6,V4,2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V4,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V4,2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F6,V4,2,RRR,10,0.23384999999999997,0.23620000000000002,0.01456733408082008,0.232,0.2405,0.00849999999999998,0.1966,0.2488,0.22482107279413055,0.2428789272058694
F6,V4,2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V4,2,P95,10,40.965999999999994,40.751999999999995,1.1107352919975524,40.172,41.602000000000004,1.4300000000000068,39.161,42.66,40.27755913355208,41.654440866447906
F6,V4,2,P99,10,53.43370000000001,53.2345,2.5511742416211223,51.804,55.484,3.6799999999999997,49.876,57.049,51.85246582295081,55.014934177049206
F6,V4,2,throughput,10,356.18462173434466,355.79744401360614,31.10561453060669,344.6762129469624,361.6157947020901,16.939581755127733,292.18042122062513,412.563819803611,336.9051621068991,375.4640813617902
F6,V4,5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V4,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V4,5,DAF,10,0.99969,1.0,0.0009803060746521948,1.0,1.0,0.0,0.9969,1.0,0.9990823999999999,1.0002976
F6,V4,5,RRR,10,0.5121300000000001,0.5147625,0.01228506772015886,0.499675,0.52,0.020325000000000037,0.490075,0.5301,0.5045156361397978,0.5197443638602024
F6,V4,5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V4,5,P95,10,108.70899999999999,95.507,41.08722263402307,92.195,99.70100000000001,7.506000000000014,89.70299999999999,224.66,83.24287557422858,134.1751244257714
F6,V4,5,P99,10,944.2971,134.0,2557.9629979906736,127.99399999999999,137.458,9.464000000000013,125.01,8224.305,-641.1447918403151,2529.738991840315
F6,V4,5,throughput,10,155.38887678758107,155.31936606054273,8.746569465560743,150.46287315554238,160.7040814464351,10.241208290892729,139.4678763753507,169.48989123457372,149.96769686766655,160.8100567074956
F6,V5,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V5,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V5,10,DAF,10,0.99976,1.0,0.0007589466384403977,1.0,1.0,0.0,0.9976,1.0,0.9992896,1.0002304
F6,V5,10,RRR,10,0.7668222222222222,0.7685444444444445,0.010277538202079273,0.7628333333333334,0.7744222222222222,0.01158888888888887,0.7434222222222222,0.7784222222222222,0.7604521380484616,0.7731923063959828
F6,V5,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V5,10,P95,10,179.60240000000005,176.01799999999997,13.649211155065167,172.994,178.002,5.00800000000001,171.69899999999998,217.62099999999998,171.14253127914165,188.06226872085844
F6,V5,10,P99,10,2229.7351,243.526,6273.2449812747445,239.172,255.49200000000005,16.32000000000005,232.103,20083.667999999998,-1658.4624223655114,6117.932622365512
F6,V5,10,throughput,10,82.99340395376194,82.36038292569177,3.9348472733254356,80.08450766266218,85.59597306217726,5.511465399515089,78.30010172693666,90.46803697719328,80.55456034655408,85.4322475609698
F6,V5,2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V5,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V5,2,DAF,10,0.99864,1.0,0.004300697617828979,1.0,1.0,0.0,0.9864,1.0,0.9959744,1.0013056
F6,V5,2,RRR,10,0.23573,0.23455,0.010338498708978768,0.2289,0.2438,0.014899999999999997,0.2191,0.2534,0.22932213211261168,0.2421378678873883
F6,V5,2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V5,2,P95,10,46.971399999999996,40.611000000000004,18.892232273256294,39.415,42.652,3.237000000000002,36.409,99.809,35.26187312258763,58.68092687741236
F6,V5,2,P99,10,450.572,52.7235,1252.0753201274363,50.488,56.152,5.6640000000000015,49.581,4013.978,-325.47232348268403,1226.616323482684
F6,V5,2,throughput,10,345.7600934388274,352.66054065820026,32.64273048560238,335.3941841474083,366.67077312829883,31.27658898089055,278.24472491478895,394.38925750996856,325.52791947205,365.9922674056049
F6,V5,5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V5,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V5,5,DAF,10,0.9995799999999999,1.0,0.0013281566172707135,1.0,1.0,0.0,0.9958,1.0,0.9987567999999999,1.0004031999999998
F6,V5,5,RRR,10,0.512565,0.513,0.011523419390287094,0.5083,0.521425,0.013125000000000053,0.489425,0.5304,0.5054227106654955,0.5197072893345046
F6,V5,5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,V5,5,P95,10,96.3854,94.2775,6.47494321210619,92.08099999999999,98.878,6.797000000000011,91.23,112.739,92.37218861898155,100.39861138101845
F6,V5,5,P99,10,1123.9784,134.041,3131.8277268590546,126.65899999999999,143.35,16.691000000000003,119.042,10037.271999999999,-817.148535803892,3065.1053358038916
F6,V5,5,throughput,10,157.90394046252456,158.52899866421296,7.435015373960515,151.76235627551762,164.38239770053767,12.620041425020048,147.15773317606164,168.60469626923825,153.29567019058814,162.51221073446098
