group,workload,failure_scenario,variant,downstream_capability,failure_probability,concurrency,duplicate_fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
group_a_baseline,create_order,F0,V1,C1,0.0,1,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,1,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,1,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,1,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,1,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,1,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,1,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,1,,P50,10,6.3018,6.1739999999999995,0.7816479457601813,5.75,6.654,0.9039999999999999,5.51,8.093,5.81732958394919,6.78627041605081
group_a_baseline,create_order,F0,V1,C1,0.0,1,,P95,10,7.8088999999999995,7.554,1.5174556519238231,6.941,7.84,0.899,6.802,11.937,6.868371242758509,8.749428757241489
group_a_baseline,create_order,F0,V1,C1,0.0,1,,P99,10,8.9133,8.477,1.892794644610626,7.734,8.856,1.1219999999999999,7.621,13.978,7.740133724892048,10.086466275107952
group_a_baseline,create_order,F0,V1,C1,0.0,1,,throughput,10,142.3087102372059,153.97041811722656,48.566857913506276,144.6958764181169,170.81616069454208,26.120284276425167,13.727644248851279,177.18285901630423,112.20665983553316,172.41076063887863
group_a_baseline,create_order,F0,V1,C1,0.0,10,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,10,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,10,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,10,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,10,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,10,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,10,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,10,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,10,,P50,10,7.1638,6.991,0.7951330845979321,6.911,7.098,0.18700000000000028,6.292,9.324,6.670971408304177,7.656628591695823
group_a_baseline,create_order,F0,V1,C1,0.0,10,,P95,10,10.0829,9.525500000000001,2.316534885940158,9.209,9.661,0.45199999999999996,8.49,16.594,8.647096802313385,11.518703197686616
group_a_baseline,create_order,F0,V1,C1,0.0,10,,P99,10,12.029900000000001,10.8185,4.113610645703412,10.32,11.282,0.9619999999999997,9.329,23.433,9.480257706682412,14.57954229331759
group_a_baseline,create_order,F0,V1,C1,0.0,10,,throughput,10,1390.85231788405,1408.3210618643725,154.3274877483826,1395.4835457498612,1445.1921985262106,49.70865277634948,986.9881376107187,1594.177273347151,1295.1991499801527,1486.5054857879475
group_a_baseline,create_order,F0,V1,C1,0.0,100,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,100,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,100,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,100,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,100,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,100,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,100,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,100,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,100,,P50,10,42.9582,53.073,30.66536939937297,10.189,58.308,48.119,9.525,88.147,23.95160713188016,61.96479286811984
group_a_baseline,create_order,F0,V1,C1,0.0,100,,P95,10,104.9163,93.95400000000001,48.33708851171002,75.175,104.035,28.86,55.481,211.023,74.95666214900021,134.8759378509998
group_a_baseline,create_order,F0,V1,C1,0.0,100,,P99,10,135.1308,114.715,61.79293879616559,98.22,134.471,36.251000000000005,84.531,276.925,96.83113973739178,173.43046026260822
group_a_baseline,create_order,F0,V1,C1,0.0,100,,throughput,10,1557.7440304058714,1672.1375739086868,278.72990972772124,1611.9924777599401,1702.7977488810316,90.80527112109144,980.3900440075337,1815.403547856871,1384.985442522338,1730.5026182894048
group_a_baseline,create_order,F0,V1,C1,0.0,50,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,50,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,50,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,50,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,50,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,50,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V1,C1,0.0,50,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,50,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V1,C1,0.0,50,,P50,10,26.4895,28.243499999999997,6.234973514155631,25.621,28.431,2.8100000000000023,10.905,33.741,22.625023378711045,30.353976621288954
group_a_baseline,create_order,F0,V1,C1,0.0,50,,P95,10,47.7163,45.0005,8.990800187475593,43.114,45.445,2.331000000000003,41.252,71.147,42.14374431034122,53.288855689658774
group_a_baseline,create_order,F0,V1,C1,0.0,50,,P99,10,60.9736,54.5605,17.448047157203582,54.234,56.238,2.003999999999998,48.896,107.681,50.1591883311973,71.7880116688027
group_a_baseline,create_order,F0,V1,C1,0.0,50,,throughput,10,1641.710766847465,1685.4180845888995,147.64452779719593,1610.9389034441558,1711.1210400250914,100.18213658093555,1312.261209782727,1854.8322617301455,1550.1997404352253,1733.2217932597048
group_a_baseline,create_order,F0,V2,C1,0.0,1,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,1,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,1,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,1,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,1,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,1,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,1,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,1,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,1,,P50,10,7.379099999999999,7.266,0.6825363563780158,6.838,7.506,0.6680000000000001,6.759,9.054,6.956059583482722,7.802140416517276
group_a_baseline,create_order,F0,V2,C1,0.0,1,,P95,10,9.014,8.4485,1.4248131261482837,8.262,9.045,0.7829999999999995,8.122,12.842,8.130891675128256,9.897108324871743
group_a_baseline,create_order,F0,V2,C1,0.0,1,,P99,10,10.432400000000001,9.557500000000001,1.7014010044013073,9.284,11.159,1.875,9.137,14.263,9.377860732107568,11.486939267892435
group_a_baseline,create_order,F0,V2,C1,0.0,1,,throughput,10,133.79933905554554,135.87007464056103,12.100538150350511,131.5156004764621,143.63017066537492,12.114570188912808,105.13297427385062,145.10371517118904,126.2993478076473,141.29933030344378
group_a_baseline,create_order,F0,V2,C1,0.0,10,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,10,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,10,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,10,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,10,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,10,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,10,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,10,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,10,,P50,10,9.733099999999999,9.715,0.6231667246144218,9.466,9.997,0.5310000000000006,8.638,11.094,9.346857262485536,10.119342737514462
group_a_baseline,create_order,F0,V2,C1,0.0,10,,P95,10,12.8476,12.183,1.9685783477197731,11.845,13.242,1.3970000000000002,10.991,18.018,11.627462499068058,14.067737500931942
group_a_baseline,create_order,F0,V2,C1,0.0,10,,P99,10,15.5775,13.661999999999999,3.7591668181482265,13.096,18.075,4.978999999999999,11.867,22.845,13.24754426702423,17.907455732975773
group_a_baseline,create_order,F0,V2,C1,0.0,10,,throughput,10,1014.4699917854396,1021.400299188293,77.17546189343614,985.0877357386709,1052.7999914858399,67.71225574716902,853.8941009050112,1149.9767526319372,966.6361449299169,1062.3038386409623
group_a_baseline,create_order,F0,V2,C1,0.0,100,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,100,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,100,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,100,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,100,,RAF,10,1.00028,1.0,0.0008854377448471189,1.0,1.0,0.0,1.0,1.0028,0.9997312,1.0008288
group_a_baseline,create_order,F0,V2,C1,0.0,100,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,100,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
