group,failure_scenario,variant,metric,seed_count,min_seed_mean,max_seed_mean,all_seeds_nonzero,zero_seed_count
group_c_duplicates,F5,V2,P95,10,83.15266666666666,120.98133333333334,True,0
group_c_duplicates,F6,V2,DER,10,0.0,0.0,False,10
group_c_duplicates,F6,V2,UAR,10,0.0,0.0,False,10
group_c_duplicates,F6,V2,DAF,10,0.9930333333333333,1.0,True,0
group_c_duplicates,F6,V2,P95,10,101.45133333333332,5772.084333333333,True,0
group_e_safe_controls,F7,V2,DER,10,0.0,0.0,False,10
group_e_safe_controls,F7,V2,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F7,V2,DAF,10,0.8949,0.9069,True,0
group_e_safe_controls,F7,V2,P95,10,53.001999999999995,108.602,True,0
group_b_ambiguous,F8,V2,DER,10,0.0,0.0,False,10
group_b_ambiguous,F8,V2,UAR,10,0.0886,0.0909875,True,0
group_b_ambiguous,F8,V2,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F8,V2,P95,10,23.598125,31.791625,True,0
group_b_ambiguous,F9,V2,DER,10,0.0,0.0,False,10
group_b_ambiguous,F9,V2,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F9,V2,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F9,V2,P95,10,36.814750000000004,45.81875,True,0
group_a_baseline,F0,V3,DER,10,0.0,0.0,False,10
group_a_baseline,F0,V3,UAR,10,0.0,0.0,False,10
group_a_baseline,F0,V3,DAF,10,1.0,1.0,True,0
group_a_baseline,F0,V3,P95,10,17.7035,62.4095,True,0
group_c_duplicates,F11,V3,DER,10,0.0,0.0,False,10
group_c_duplicates,F11,V3,UAR,10,0.0,0.0,False,10
group_c_duplicates,F11,V3,DAF,10,6.666666666666667,6.666666666666667,True,0
group_c_duplicates,F11,V3,P95,10,113.89033333333333,117.47766666666666,True,0
group_e_safe_controls,F1,V3,DER,10,0.0,0.0,False,10
group_e_safe_controls,F1,V3,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F1,V3,DAF,10,0.8961,0.9016,True,0
group_e_safe_controls,F1,V3,P95,10,12.527,50.457,True,0
group_e_safe_controls,F2,V3,DER,10,0.0,0.0,False,10
group_e_safe_controls,F2,V3,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F2,V3,DAF,10,1.0,1.0,True,0
group_e_safe_controls,F2,V3,P95,10,22.136,51.972,True,0
group_b_ambiguous,F3,V3,DER,10,0.0,0.0,False,10
group_b_ambiguous,F3,V3,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F3,V3,DAF,10,1.35675,1.36505,True,0
group_b_ambiguous,F3,V3,P95,10,28.43475,37.798249999999996,True,0
group_d_capability,F3,V3,DER,10,0.0,0.0,False,10
group_d_capability,F3,V3,UAR,10,0.0,0.0,False,10
group_d_capability,F3,V3,DAF,10,1.3894000000000002,1.4114,True,0
group_d_capability,F3,V3,P95,10,48.26649999999999,114.808,True,0
group_b_ambiguous,F4,V3,DER,10,0.0,0.0,False,10
group_b_ambiguous,F4,V3,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F4,V3,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F4,V3,P95,10,21.898,29.968375,True,0
group_c_duplicates,F5,V3,DER,10,0.0,0.0,False,10
group_c_duplicates,F5,V3,UAR,10,0.0,0.0,False,10
group_c_duplicates,F5,V3,DAF,10,2.0,2.0,True,0
group_c_duplicates,F5,V3,P95,10,78.928,100.675,True,0
group_c_duplicates,F6,V3,DER,10,0.0,0.0,False,10
group_c_duplicates,F6,V3,UAR,10,0.0,0.0,False,10
group_c_duplicates,F6,V3,DAF,10,5.107433333333334,5.142633333333333,True,0
group_c_duplicates,F6,V3,P95,10,98.36399999999999,116.04633333333334,True,0
group_e_safe_controls,F7,V3,DER,10,0.0,0.0,False,10
group_e_safe_controls,F7,V3,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F7,V3,DAF,10,1.0,1.0,True,0
group_e_safe_controls,F7,V3,P95,10,38.302,53.302,True,0
group_b_ambiguous,F8,V3,DER,10,0.0,0.0,False,10
group_b_ambiguous,F8,V3,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F8,V3,DAF,10,1.35015,1.3634,True,0
group_b_ambiguous,F8,V3,P95,10,28.522625,38.876875,True,0
