failure,variant,concurrency,probability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V2,10,0.01,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,10,0.01,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.01,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.01,UAR,10,0.01036,0.0103,0.0008783823515733656,0.0096,0.0112,0.0016000000000000007,0.0093,0.0117,0.009815572978056542,0.010904427021943457
F3,V2,10,0.01,RAF,10,1.04144,1.0412,0.0035135294062934655,1.0384,1.0448,0.006399999999999961,1.0372,1.0468,1.039262291912226,1.0436177080877738
F3,V2,10,0.01,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,10,0.05,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.05,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,10,0.05,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.05,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.05,UAR,10,0.051500000000000004,0.051199999999999996,0.00200554786086551,0.0502,0.0531,0.0029,0.0488,0.0553,0.05025694855742456,0.05274305144257545
F3,V2,10,0.05,RAF,10,1.206,1.2048,0.008022191443462029,1.2008,1.2124,0.011599999999999833,1.1952,1.2212,1.2010277942296983,1.2109722057703016
F3,V2,10,0.05,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,10,0.1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,10,0.1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.1,UAR,10,0.09977000000000001,0.09955,0.0032438146268449638,0.0969,0.1031,0.006199999999999997,0.0941,0.104,0.09775946286447296,0.10178053713552707
F3,V2,10,0.1,RAF,10,1.39908,1.3982,0.012975258507379843,1.3876,1.4124,0.024800000000000155,1.3764,1.416,1.3910378514578918,1.4071221485421084
F3,V2,10,0.1,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,10,0.2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,10,0.2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,10,0.2,UAR,10,0.19946000000000003,0.2,0.003862123768084083,0.1973,0.2016,0.004299999999999998,0.1925,0.2066,0.19706623088832698,0.20185376911167308
F3,V2,10,0.2,RAF,10,1.7978399999999997,1.8,0.015448495072336359,1.7892,1.8064,0.017200000000000104,1.77,1.8264,1.7882649235533075,1.8074150764466919
F3,V2,10,0.2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,50,0.01,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.01,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,50,0.01,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.01,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.01,UAR,10,0.01005,0.01015,0.0009383792173506166,0.0093,0.0108,0.0015000000000000013,0.0087,0.0115,0.009468386535384348,0.010631613464615651
F3,V2,50,0.01,RAF,10,1.0402,1.0406,0.0037535168694024785,1.0372,1.0432,0.006000000000000005,1.0348,1.046,1.0378735461415374,1.0425264538584627
F3,V2,50,0.01,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,50,0.05,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.05,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,50,0.05,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.05,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.05,UAR,10,0.050629999999999994,0.050199999999999995,0.0029612497361755897,0.0477,0.052,0.004299999999999998,0.0471,0.0553,0.04879459839817003,0.052465401601829956
F3,V2,50,0.05,RAF,10,1.2025200000000003,1.2008,0.01184499894470236,1.1908,1.208,0.017199999999999882,1.1884,1.2212,1.1951783935926803,1.2098616064073202
F3,V2,50,0.05,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,50,0.1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,50,0.1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.1,UAR,10,0.10259,0.1016,0.003590868047329689,0.1007,0.103,0.0022999999999999965,0.0975,0.1095,0.1003643569258901,0.1048156430741099
F3,V2,50,0.1,RAF,10,1.41036,1.4064,0.01436347218931874,1.4028,1.412,0.009199999999999875,1.39,1.438,1.4014574277035605,1.4192625722964396
F3,V2,50,0.1,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,50,0.2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,50,0.2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,50,0.2,UAR,10,0.20204000000000005,0.20195000000000002,0.004270623165560528,0.1992,0.2055,0.0063,0.194,0.2076,0.19939304033863592,0.2046869596613642
F3,V2,50,0.2,RAF,10,1.8081600000000002,1.8077999999999999,0.017082492662242137,1.7968,1.822,0.02520000000000011,1.776,1.8304,1.7975721613545437,1.8187478386454567
F3,V2,50,0.2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V3,10,0.01,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.01,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V3,10,0.01,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.01,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.01,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.01,RAF,10,1.04032,1.0428,0.00528578807327304,1.0356,1.044,0.008399999999999963,1.0308,1.0468,1.0370438346100628,1.043596165389937
F3,V3,10,0.01,DAF,10,1.04032,1.0428,0.00528578807327304,1.0356,1.044,0.008399999999999963,1.0308,1.0468,1.0370438346100628,1.043596165389937
