experiment_id,group,workload,variant,downstream_capability,failure_scenario,failure_probability,concurrency,duplicate_fanout,retry_fanout,seed,operations,warmup_operations,DER,EOER,LER,RSR,RAF,DAF,RRR,UAR,P50,P95,P99,throughput,selected_for_fault,reached_fault_hook,fault_injected,logical_operations,total_attempts,total_downstream_calls,total_effects,duplicate_operations,exactly_once_operations,zero_effect_operations,unknown_operations,reconciled_operations,replayed_operations,run_dir,final_validation_status
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7005,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7005,10000,1000,0.0,1.0,0.0,0.0,1.4088,1.0,0.0,0.1022,14.128,47.195,67.05399999999999,970.3191986919546,1049,10000,10000,10000,14088,10000,10000,0,10000,0,1022,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7005/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7005_1788685460447,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7006,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7006,10000,1000,0.0,1.0,0.0,0.0,1.4128,1.0,0.0,0.1032,19.812,73.715,140.427,799.926856053392,1008,10000,10000,10000,14128,10000,10000,0,10000,0,1032,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7006/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7006_1788685589723,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7007,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7007,10000,1000,0.0,1.0,0.0,0.0,1.4012,1.0,0.0,0.1003,16.114,57.364,76.144,929.6658361751399,973,10000,10000,10000,14012,10000,10000,0,10000,0,1003,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7007/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7007_1788685703113,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7008,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7008,10000,1000,0.0,1.0,0.0,0.0,1.3892,1.0,0.0,0.0973,15.727,54.943999999999996,79.088,961.7780992950384,963,10000,10000,10000,13892,10000,10000,0,10000,0,973,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7008/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7008_1788685837637,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7009,group_f_generalization,charge_payment,V2,C1,F3,0.1,50,,,7009,10000,1000,0.0,1.0,0.0,0.0,1.3988,1.0,0.0,0.0997,17.098,60.022000000000006,81.875,917.7326129297096,991,10000,10000,10000,13988,10000,10000,0,10000,0,997,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7009/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7009_1788685963960,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7000,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7000,10000,1000,0.0,1.0,0.0,0.0,1.4056,1.0,0.0,0.1014,7.919,22.453,28.979999999999997,688.2047208472161,1041,10000,10000,10000,14056,10000,10000,0,10000,0,1014,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7000/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7000_1788684832344,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7001,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7001,10000,1000,0.0,1.0,0.0,0.0,1.3864,1.0,0.0,0.0966,7.132,19.242,24.281,731.1872607611972,959,10000,10000,10000,13864,10000,10000,0,10000,0,966,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7001/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7001_1788684965537,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7002,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7002,10000,1000,0.0,1.0,0.0,0.0,1.3872,1.0,0.0,0.0968,7.318,20.44,25.779999999999998,727.8098673627084,982,10000,10000,10000,13872,10000,10000,0,10000,0,968,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7002/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7002_1788685074337,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7003,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7003,10000,1000,0.0,1.0,0.0,0.0,1.382,1.0,0.0,0.0955,7.182,19.339,25.65,735.4394765256808,976,10000,10000,10000,13820,10000,10000,0,10000,0,955,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7003/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7003_1788685207848,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7004,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7004,10000,1000,0.0,1.0,0.0,0.0,1.4128,1.0,0.0,0.1032,6.898,19.22,23.487,694.4059588096784,1029,10000,10000,10000,14128,10000,10000,0,10000,0,1032,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7004/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7004_1788685347766,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7005,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7005,10000,1000,0.0,1.0,0.0,0.0,1.3856,1.0,0.0,0.0964,7.833,22.133,29.255,718.4995513985872,997,10000,10000,10000,13856,10000,10000,0,10000,0,964,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7005/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7005_1788685473282,PASS
