workload,failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
create_order,F8,V4,P95,110,26.50780909090908,23.5115,9.931047758775131,20.648,31.047,10.399000000000001,9.771,61.714,24.65190811894842,28.363710062869743
create_order,F8,V4,throughput,110,602.236312416774,677.2647066044065,358.73234057165024,245.3421004624843,715.3249409434957,469.9828404810114,69.6899530624499,1354.393213334956,535.1968906244089,669.2757342091392
create_order,F8,V5,DER,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F8,V5,EOER,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F8,V5,RSR,110,0.07440272727272729,0.051449999999999996,0.07035186852769286,0.0096,0.1015,0.09190000000000001,0.0,0.2108,0.0612554638266901,0.08754999071876447
create_order,F8,V5,UAR,110,0.018065454545454548,0.0,0.038517098398731284,0.0,0.0,0.0,0.0,0.1054,0.010867430521036156,0.02526347856987294
create_order,F8,V5,RAF,110,1.2210663636363641,1.1992,0.14775353037727768,1.1002,1.394,0.29379999999999984,1.017,1.4216,1.1934543807621996,1.2486783465105287
create_order,F8,V5,DAF,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F8,V5,P95,110,33.47214545454546,26.6195,20.046032799230456,17.487000000000002,46.689,29.201999999999998,10.821,93.31099999999999,29.72596955652162,37.218321352569305
create_order,F8,V5,throughput,110,788.5053507732994,860.3708578139322,376.794707353719,426.2760480480528,1049.7691413618434,623.4930933137905,125.93110127257034,1397.1040339037984,718.090457944947,858.9202436016517
reserve_inventory,F3,V0,DER,10,0.09933999999999998,0.0991,0.002569565462615551,0.0986,0.1009,0.0023000000000000104,0.0938,0.1031,0.09774736682608118,0.10093263317391879
reserve_inventory,F3,V0,EOER,10,0.90066,0.9009,0.0025695654626155537,0.8991,0.9014,0.0022999999999999687,0.8969,0.9062,0.8990673668260812,0.9022526331739188
reserve_inventory,F3,V0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F3,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F3,V0,RAF,10,1.39736,1.3964,0.010278261850462203,1.3944,1.4036,0.009199999999999875,1.3752,1.4124,1.3909894673043248,1.403730532695675
reserve_inventory,F3,V0,DAF,10,1.39736,1.3964,0.010278261850462203,1.3944,1.4036,0.009199999999999875,1.3752,1.4124,1.3909894673043248,1.403730532695675
reserve_inventory,F3,V0,P95,10,58.5243,56.5905,9.061197689415382,50.882999999999996,61.455,10.572000000000003,48.694,73.455,52.90811148658891,64.14048851341109
