experiment_id,run_dir,DER_delta,EOER_delta,LER_delta,RSR_delta,RAF_delta,DAF_delta,RRR_delta,UAR_delta,P50_delta,P95_delta,P99_delta,throughput_recomputed_from_event_span,throughput_summary,logical_operations_delta,PASS_FAIL
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7005,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7005/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7005_1788685460447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.3191986919546,820.004100505353,0,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7006,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7006/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7006_1788685589723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.926856053392,641.0798462559234,0,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7007,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7007/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7007_1788685703113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.6658361751399,809.3502704392442,0,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7008,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7008/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7008_1788685837637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.7780992950384,839.1066750379196,0,PASS
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7009,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7009/CHARGEPAYMENT_V2_C1_F3_P10_C50_S7009_1788685963960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.7326129297096,801.0699869177602,0,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7000,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7000/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7000_1788684832344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.2047208472161,612.1766211426509,0,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7001,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7001/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7001_1788684965537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.1872607611972,644.1179477844025,0,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7002,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7002/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7002_1788685074337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.8098673627084,637.4767356474209,0,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7003,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7003/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7003_1788685207848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.4394765256808,651.0337788157415,0,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7004,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7004/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7004_1788685347766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.4059588096784,613.4758651090384,0,PASS
