experiment_id,metric,observed_value,group_distribution_context,possible_infrastructure_note
CREATEORDER_V0_C0_F4_P1_C10_S7006,P95,15.463,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=8.978;Q3=10.933;IQR=1.955",
CREATEORDER_V0_C0_F4_P20_C10_S7004,P95,15.547,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=8.978;Q3=10.933;IQR=1.955",
CREATEORDER_V0_C0_F4_P20_C10_S7009,P95,14.753,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=8.978;Q3=10.933;IQR=1.955",
CREATEORDER_V0_C0_F4_P5_C10_S7002,P95,14.726,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=8.978;Q3=10.933;IQR=1.955",
CREATEORDER_V0_C0_F4_P5_C10_S7007,P95,14.195,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=8.978;Q3=10.933;IQR=1.955",
CREATEORDER_V0_C0_F4_P10_C10_S7003,P99,17.473,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=10.095;Q3=12.271;IQR=2.176",
CREATEORDER_V0_C0_F4_P10_C10_S7008,P99,19.994,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=10.095;Q3=12.271;IQR=2.176",
CREATEORDER_V0_C0_F4_P1_C10_S7001,P99,20.088,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=10.095;Q3=12.271;IQR=2.176",
CREATEORDER_V0_C0_F4_P1_C10_S7006,P99,18.635,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=10.095;Q3=12.271;IQR=2.176",
CREATEORDER_V0_C0_F4_P20_C10_S7004,P99,19.633,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=10.095;Q3=12.271;IQR=2.176",
CREATEORDER_V0_C0_F4_P20_C10_S7009,P99,18.455,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=10.095;Q3=12.271;IQR=2.176",
CREATEORDER_V0_C0_F4_P5_C10_S7002,P99,18.039,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=10.095;Q3=12.271;IQR=2.176",
CREATEORDER_V0_C0_F4_P5_C10_S7007,P99,18.583,"('group_b_ambiguous', 'F4', 'V0', 10);Q1=10.095;Q3=12.271;IQR=2.176",
CREATEORDER_V0_C0_F4_P1_C50_S7008,P95,30.863,"('group_b_ambiguous', 'F4', 'V0', 50);Q1=40.947;Q3=46.737;IQR=5.789999999999999",
CREATEORDER_V0_C0_F4_P5_C50_S7002,P95,13.375,"('group_b_ambiguous', 'F4', 'V0', 50);Q1=40.947;Q3=46.737;IQR=5.789999999999999",
CREATEORDER_V0_C0_F4_P5_C50_S7003,P95,12.269,"('group_b_ambiguous', 'F4', 'V0', 50);Q1=40.947;Q3=46.737;IQR=5.789999999999999",
CREATEORDER_V0_C0_F4_P5_C50_S7002,P99,15.859,"('group_b_ambiguous', 'F4', 'V0', 50);Q1=50.962;Q3=56.947;IQR=5.984999999999999",
CREATEORDER_V0_C0_F4_P5_C50_S7003,P99,27.357,"('group_b_ambiguous', 'F4', 'V0', 50);Q1=50.962;Q3=56.947;IQR=5.984999999999999",
CREATEORDER_V0_C0_F4_P20_C50_S7000,throughput,1916.2157253988685,"('group_b_ambiguous', 'F4', 'V0', 50);Q1=1631.0741197903276;Q3=1742.338813562406;IQR=111.26469377207832",
CREATEORDER_V0_C0_F5_P0_C50_FAN10_S7001,P95,135.797,"('group_c_duplicates', 'F5', 'V0', 50);Q1=84.965;Q3=93.97;IQR=9.004999999999995",
CREATEORDER_V0_C0_F5_P0_C50_FAN10_S7006,P95,149.489,"('group_c_duplicates', 'F5', 'V0', 50);Q1=84.965;Q3=93.97;IQR=9.004999999999995",
CREATEORDER_V0_C0_F5_P0_C50_FAN10_S7007,P95,57.052,"('group_c_duplicates', 'F5', 'V0', 50);Q1=84.965;Q3=93.97;IQR=9.004999999999995",
CREATEORDER_V0_C0_F5_P0_C50_FAN2_S7000,P95,129.276,"('group_c_duplicates', 'F5', 'V0', 50);Q1=84.965;Q3=93.97;IQR=9.004999999999995",
CREATEORDER_V0_C0_F5_P0_C50_FAN2_S7005,P95,144.744,"('group_c_duplicates', 'F5', 'V0', 50);Q1=84.965;Q3=93.97;IQR=9.004999999999995",
